Time,Batch,value,Group
1,1,449.8,1
1,1,446.2,1
1,1,450.7,1
1,1,448.4,1
1,1,452.1,1
1,1,447.6,1
1,1,448.2,1
1,1,452.6,1
1,1,443.5,1
1,1,443.7,1
2,1,449.8,1
2,1,450.5,1
2,1,449.1,1
2,1,451,1
2,1,449.8,1
2,1,450,1
2,1,449.5,1
2,1,443.5,1
2,1,451.5,1
2,1,449,1
3,1,453.2,1
3,1,450.1,1
3,1,450.2,1
3,1,447.4,1
3,1,449.1,1
3,1,447.6,1
3,1,451.5,1
3,1,445.4,1
3,1,450.9,1
3,1,447.5,1
4,1,449.1,1
4,1,442.6,1
4,1,451.8,1
4,1,459.3,1
4,1,447.8,1
4,1,444.5,1
4,1,449.9,1
4,1,447.7,1
4,1,456.2,1
4,1,447.9,1
5,1,450.7,1
5,1,455.9,1
5,1,451.4,1
5,1,453.4,1
5,1,457.8,1
5,1,453.5,1
5,1,450.6,1
5,1,453.4,1
5,1,451.7,1
5,1,452.8,1
6,1,449.6,1
6,1,451.9,1
6,1,457.6,1
6,1,450.9,1
6,1,447.8,1
6,1,447.9,1
6,1,453.5,1
6,1,449.1,1
6,1,451.4,1
6,1,452.3,1
7,1,446.7,1
7,1,447,1
7,1,452.9,1
7,1,447.9,1
7,1,451.8,1
7,1,449.1,1
7,1,444.3,1
7,1,452,1
7,1,453,1
7,1,449.8,1
1,2,446.8,1
1,2,448.3,1
1,2,448.2,1
1,2,446,1
1,2,450.3,1
1,2,442.4,1
1,2,448.8,1
1,2,446.3,1
1,2,448.3,1
1,2,446.9,1
2,2,450.7,1
2,2,451.1,1
2,2,451.1,1
2,2,451.9,1
2,2,453.1,1
2,2,451,1
2,2,456.9,1
2,2,450.1,1
2,2,454.6,1
2,2,444,1
3,2,442.2,1
3,2,449.4,1
3,2,451.4,1
3,2,451,1
3,2,448.4,1
3,2,448.3,1
3,2,448.7,1
3,2,445.6,1
3,2,446.3,1
3,2,447.1,1
4,2,448.7,1
4,2,443.1,1
4,2,448.5,1
4,2,440.9,1
4,2,449.3,1
4,2,447.3,1
4,2,451.1,1
4,2,451.2,1
4,2,447.2,1
4,2,438.2,1
5,2,447,1
5,2,445.9,1
5,2,445.8,1
5,2,442.5,1
5,2,445.8,1
5,2,447.9,1
5,2,441,1
5,2,444.8,1
5,2,443,1
5,2,443.9,1
6,2,447.9,1
6,2,449.5,1
6,2,452.8,1
6,2,448.6,1
6,2,443,1
6,2,449.8,1
6,2,449.2,1
6,2,448.5,1
6,2,444.4,1
6,2,455.9,1
7,2,445.3,1
7,2,449.9,1
7,2,447.2,1
7,2,453.5,1
7,2,448.3,1
7,2,447.9,1
7,2,454.6,1
7,2,450,1
7,2,450.4,1
7,2,453.7,1
1,3,444.3,1
1,3,442.7,1
1,3,448.5,1
1,3,449.8,1
1,3,445.9,1
1,3,443.4,1
1,3,453,1
1,3,448.9,1
1,3,455.4,1
1,3,447.2,1
2,3,445.3,1
2,3,449.1,1
2,3,453.5,1
2,3,454.7,1
2,3,449.1,1
2,3,446.9,1
2,3,449.9,1
2,3,445,1
2,3,446.7,1
2,3,447.7,1
3,3,451.3,1
3,3,448.6,1
3,3,453,1
3,3,450.8,1
3,3,453.4,1
3,3,450.4,1
3,3,449.3,1
3,3,453.4,1
3,3,446.7,1
3,3,450.6,1
4,3,444.8,1
4,3,451.7,1
4,3,446,1
4,3,449.3,1
4,3,445.4,1
4,3,445.7,1
4,3,443.2,1
4,3,450.2,1
4,3,445.9,1
4,3,449,1
5,3,449.7,1
5,3,448.9,1
5,3,445,1
5,3,444.4,1
5,3,446,1
5,3,441.8,1
5,3,443.9,1
5,3,446.9,1
5,3,446.3,1
5,3,441.7,1
6,3,445.9,1
6,3,445.2,1
6,3,441.4,1
6,3,442.9,1
6,3,445.4,1
6,3,444.5,1
6,3,450.2,1
6,3,438.8,1
6,3,442.3,1
6,3,440.4,1
7,3,444.5,1
7,3,445.1,1
7,3,448.8,1
7,3,451.2,1
7,3,448.3,1
7,3,449.4,1
7,3,449.5,1
7,3,441.5,1
7,3,451.2,1
7,3,446.7,1
1,4,452,1
1,4,445.3,1
1,4,453.2,1
1,4,447.7,1
1,4,441.9,1
1,4,452.7,1
1,4,450,1
1,4,447.3,1
1,4,442.7,1
1,4,449.6,1
2,4,452.2,1
2,4,449,1
2,4,448.8,1
2,4,447.2,1
2,4,446.3,1
2,4,448.6,1
2,4,443.9,1
2,4,451.2,1
2,4,446.2,1
2,4,447.7,1
3,4,448,1
3,4,444.3,1
3,4,450.1,1
3,4,442.4,1
3,4,443.3,1
3,4,448,1
3,4,448.3,1
3,4,444.8,1
3,4,446.6,1
3,4,452.3,1
4,4,447.9,1
4,4,446.4,1
4,4,448.4,1
