"id","run.order","std.order","load","bh","fr","y","mAb"
1,1,4,0,1,0,2.05,"mAb01"
1,2,2,1,-1,-1,1.89,"mAb01"
1,3,5,-1,-1,1,1.98,"mAb01"
1,4,7,-1,1,1,2.12,"mAb01"
1,5,3,-1,1,-1,2,"mAb01"
1,6,1,-1,0,0,2.05,"mAb01"
1,7,8,1,1,1,1.99,"mAb01"
1,8,1,-1,-1,-1,2.07,"mAb01"
1,9,2,1,0,0,1.97,"mAb01"
1,10,9,0,0,0,1.95,"mAb01"
1,11,3,0,-1,0,1.94,"mAb01"
1,12,6,0,0,1,1.87,"mAb01"
1,13,6,1,-1,1,1.91,"mAb01"
1,14,5,0,0,-1,2.02,"mAb01"
1,15,4,1,1,-1,2.09,"mAb01"
1,16,7,0,0,0,2.09,"mAb01"
2,1,4,0,1,0,1.69,"mAb02"
2,2,2,1,-1,-1,1.76,"mAb02"
2,3,5,-1,-1,1,1.69,"mAb02"
2,4,7,-1,1,1,1.98,"mAb02"
2,5,3,-1,1,-1,2.03,"mAb02"
2,6,1,-1,0,0,2.08,"mAb02"
2,7,8,1,1,1,1.58,"mAb02"
2,8,1,-1,-1,-1,1.8,"mAb02"
2,9,2,1,0,0,1.64,"mAb02"
2,10,9,0,0,0,1.7,"mAb02"
2,11,3,0,-1,0,1.68,"mAb02"
2,12,6,0,0,1,1.74,"mAb02"
2,13,6,1,-1,1,1.59,"mAb02"
2,14,5,0,0,-1,1.79,"mAb02"
2,15,4,1,1,-1,1.62,"mAb02"
2,16,7,0,0,0,1.74,"mAb02"
3,1,4,0,1,0,1.87,"mAb03"
3,2,2,1,-1,-1,1.75,"mAb03"
3,3,5,-1,-1,1,1.7,"mAb03"
3,4,7,-1,1,1,2.05,"mAb03"
3,5,3,-1,1,-1,1.99,"mAb03"
3,6,1,-1,0,0,1.98,"mAb03"
3,7,8,1,1,1,1.67,"mAb03"
3,8,1,-1,-1,-1,1.85,"mAb03"
3,9,2,1,0,0,1.87,"mAb03"
3,10,9,0,0,0,1.85,"mAb03"
3,11,3,0,-1,0,1.79,"mAb03"
3,12,6,0,0,1,1.76,"mAb03"
3,13,6,1,-1,1,2,"mAb03"
3,14,5,0,0,-1,1.94,"mAb03"
3,15,4,1,1,-1,2,"mAb03"
3,16,7,0,0,0,1.86,"mAb03"
4,1,4,0,1,0,1.79,"mAb04"
4,2,2,1,-1,-1,1.7,"mAb04"
4,3,5,-1,-1,1,1.82,"mAb04"
4,4,7,-1,1,1,1.99,"mAb04"
4,5,3,-1,1,-1,2.09,"mAb04"
4,6,1,-1,0,0,1.96,"mAb04"
4,7,8,1,1,1,1.59,"mAb04"
4,8,1,-1,-1,-1,1.97,"mAb04"
4,9,2,1,0,0,1.62,"mAb04"
4,10,9,0,0,0,1.82,"mAb04"
4,11,3,0,-1,0,1.84,"mAb04"
4,12,6,0,0,1,1.65,"mAb04"
4,13,6,1,-1,1,1.92,"mAb04"
4,14,5,0,0,-1,1.81,"mAb04"
4,15,4,1,1,-1,1.7,"mAb04"
4,16,7,0,0,0,2,"mAb04"
5,1,4,0,1,0,1.78,"mAb05"
5,2,2,1,-1,-1,1.76,"mAb05"
5,3,5,-1,-1,1,1.81,"mAb05"
5,4,7,-1,1,1,1.84,"mAb05"
5,5,3,-1,1,-1,1.98,"mAb05"
5,6,1,-1,0,0,1.82,"mAb05"
5,7,8,1,1,1,1.66,"mAb05"
5,8,1,-1,-1,-1,1.81,"mAb05"
5,9,2,1,0,0,1.65,"mAb05"
5,10,9,0,0,0,1.75,"mAb05"
5,11,3,0,-1,0,1.93,"mAb05"
5,12,6,0,0,1,1.64,"mAb05"
5,13,6,1,-1,1,1.77,"mAb05"
5,14,5,0,0,-1,1.88,"mAb05"
5,15,4,1,1,-1,1.6,"mAb05"
5,16,7,0,0,0,1.63,"mAb05"
6,1,4,0,1,0,1.43,"mAb06"
6,2,2,1,-1,-1,1.42,"mAb06"
6,3,5,-1,-1,1,1.39,"mAb06"
6,4,7,-1,1,1,1.57,"mAb06"
6,5,3,-1,1,-1,1.52,"mAb06"
6,6,1,-1,0,0,1.5,"mAb06"
6,7,8,1,1,1,1.5,"mAb06"
6,8,1,-1,-1,-1,1.51,"mAb06"
6,9,2,1,0,0,1.63,"mAb06"
6,10,9,0,0,0,1.49,"mAb06"
6,11,3,0,-1,0,1.44,"mAb06"
6,12,6,0,0,1,1.66,"mAb06"
6,13,6,1,-1,1,1.67,"mAb06"
6,14,5,0,0,-1,1.48,"mAb06"
6,15,4,1,1,-1,1.4,"mAb06"
6,16,7,0,0,0,1.31,"mAb06"
7,1,4,0,1,0,2.97,"mAb07"
7,2,2,1,-1,-1,2.6,"mAb07"
7,3,5,-1,-1,1,2.77,"mAb07"
7,4,7,-1,1,1,3.26,"mAb07"
7,5,3,-1,1,-1,2.93,"mAb07"
7,6,1,-1,0,0,2.89,"mAb07"
7,7,8,1,1,1,2.47,"mAb07"
7,8,1,-1,-1,-1,2.82,"mAb07"
7,9,2,1,0,0,2.81,"mAb07"
7,10,9,0,0,0,2.84,"mAb07"
7,11,3,0,-1,0,2.87,"mAb07"
7,12,6,0,0,1,3.03,"mAb07"
7,13,6,1,-1,1,2.85,"mAb07"
7,14,5,0,0,-1,2.73,"mAb07"
7,15,4,1,1,-1,2.77,"mAb07"
7,16,7,0,0,0,2.78,"mAb07"
8,1,4,0,1,0,1.66,"mAb08"
8,2,2,1,-1,-1,1.3,"mAb08"
8,3,5,-1,-1,1,1.58,"mAb08"
8,4,7,-1,1,1,1.74,"mAb08"
8,5,3,-1,1,-1,1.93,"mAb08"
8,6,1,-1,0,0,1.74,"mAb08"
8,7,8,1,1,1,1.77,"mAb08"
8,8,1,-1,-1,-1,1.58,"mAb08"
8,9,2,1,0,0,1.66,"mAb08"
8,10,9,0,0,0,1.46,"mAb08"
8,11,3,0,-1,0,1.67,"mAb08"
8,12,6,0,0,1,1.72,"mAb08"
8,13,6,1,-1,1,1.58,"mAb08"
8,14,5,0,0,-1,1.75,"mAb08"
8,15,4,1,1,-1,1.76,"mAb08"
8,16,7,0,0,0,1.74,"mAb08"
9,1,4,0,1,0,2.86,"mAb09"
9,2,2,1,-1,-1,2.8,"mAb09"
9,3,5,-1,-1,1,2.63,"mAb09"
9,4,7,-1,1,1,2.58,"mAb09"
9,5,3,-1,1,-1,2.75,"mAb09"
9,6,1,-1,0,0,2.62,"mAb09"
9,7,8,1,1,1,2.79,"mAb09"
9,8,1,-1,-1,-1,2.47,"mAb09"
9,9,2,1,0,0,2.62,"mAb09"
9,10,9,0,0,0,2.71,"mAb09"
9,11,3,0,-1,0,2.64,"mAb09"
